พื้นที่ขาย(ตรม.),พื้นที่ Back Room(ตรม.),พื้นที่รวม(ตรม.),จำนวน Opentype 0.9 m,จำนวน Opentype 1.92 m,จำนวนตู้แช่ข้าวกล่องตัว,จำนวนตู้แช่ข้าวกล่องบาน,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,0.00,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep
123.22,58.65,181.87,2,3,3,3,"15,302","14,456","16,854","16,547","18,155","17,448","16,879","18,275","18,175","18,681","16,194","16,195","16,670","14,827","18,186","18,276","18,650","18,531","19,208","18,542","18,082","19,108","18,350","18,458","17,708","17,322","20,217","19,561","19,835","9,564","17,970","17,679","16,172","17,596","16,472","16,258","18,703","18,060","20,128","19,535","21,007","19,196","18,759","18,998","17,951","17,810","17,248","17,173","15,423","15,877","18,491","18,337","19,571","18,737","18,544","19,148","16,457",0.00,"45,428","41,788","49,870","48,385","49,142","50,080","48,141","49,049","48,428","48,851","45,234","47,559","47,023","42,961","49,583","46,040","48,217","48,053","47,962","47,469","45,470","49,180","47,082","47,841","45,796","43,867","50,360","49,341","51,386","48,448","49,304","47,863","46,189","48,854","47,650","47,077","49,289","46,449","45,366","34,242","36,655","37,220","40,209","37,195","32,028","33,520","31,438","31,469","27,292","26,626","30,402","28,487","30,059","28,588","27,351","26,499","24,354"
138.02,45.24,183.26,0,3,2,2,"17,106","15,096","17,806","17,436","17,697","17,206","16,484","16,900","16,586","16,836","15,664","15,203","15,511","14,116","17,456","16,013","16,801","16,546","17,416","17,181","17,455","19,061","17,436","17,661","17,083","15,947","17,869","18,871","18,922","17,534","17,268","15,921","15,507","17,193","15,321","14,863","16,499","14,806","16,713","16,931","18,818","16,604","17,159","16,371","15,576","14,558","15,011","14,810","14,002","14,203","17,427","15,889","16,967","16,199","15,552","15,879","14,398",0.00,"43,775","40,086","47,878","46,813","47,412","47,075","49,586","49,398","48,838","50,317","46,886","47,664","45,865","43,606","51,676","48,387","50,830","48,593","49,754","48,426","49,200","52,572","49,609","49,355","48,668","46,266","52,666","51,522","52,514","50,509","50,921","50,664","48,180","51,998","48,785","48,524","50,526","48,230","49,802","37,706","36,398","33,418","36,815","36,503","33,831","34,196","32,943","33,164","32,802","30,541","34,178","31,328","33,612","33,630","29,294","33,899","28,932"
155.62,28.72,184.34,0,3,1,0,"13,804","12,616","15,089","15,073","15,141","14,096","14,336","14,443","13,489","13,625","12,527","12,225","12,542","11,639","14,428","14,500","14,861","15,029","15,591","15,117","14,479","15,460","13,926","14,125","13,455","13,705","15,978","17,105","17,346","15,799","15,581","14,756","14,333","15,891","14,213","13,665","14,285","12,966","15,634","16,380","18,228","16,366","16,386","16,078","15,954","14,926","14,680","14,207","13,540","13,304","16,450","15,935","16,496","16,278","15,904","16,397","15,229",0.00,"27,826","25,688","29,469","29,888","28,875","29,864","29,272","29,417","29,832","29,460","27,201","28,836","28,028","25,220","29,322","27,945","28,899","28,354","28,647","26,898","28,256","29,555","26,492","27,678","27,263","25,169","28,973","28,936","29,434","27,155","25,149","24,938","25,084","26,837","26,780","24,955","24,730","24,288","26,918","20,527","21,105","20,246","22,559","22,344","22,095","23,142","22,893","23,931","22,565","21,499","25,538","23,475","24,517","24,446","22,285","29,258","26,731"
125.59,6.17,131.76,2,2,2,0,"12,671","11,292","13,423","13,422","13,474","13,276","13,342","13,751","13,388","13,553","12,051","11,921","12,490","12,054","14,158","13,880","14,236","14,218","14,324","13,572","13,212","13,884","13,416","13,515","13,205","12,854","15,413","15,391","16,227","15,164","15,017","14,434","14,484","15,446","13,982","13,376","14,472","13,690","15,526","14,898","16,743","14,471","14,604","14,508","13,660","13,004","13,193","13,309","13,010","12,133","14,896","15,220","16,452","16,088","15,459","13,835","12,702",0.00,"34,597","31,953","36,539","34,467","34,769","35,071","36,275","35,373","34,595","34,664","34,890","35,376","36,698","41,948","39,710","35,462","37,285","36,926","37,708","36,141","35,685","37,405","36,418","35,806","35,786","32,670","37,260","36,649","37,991","35,746","35,823","34,811","34,144","35,299","33,822","34,410","34,567","33,532","33,619","25,532","27,084","26,311","27,603","27,793","27,037","27,540","28,174","29,456","28,349","26,144","29,625","28,133","28,843","27,856","25,594","21,629","21,715"
106.67,27.56,134.23,0,2,1,0,"11,354","11,359","11,177","13,157","13,278","12,891","12,682","12,491","12,599","11,886","11,842","11,320","10,422","10,470","10,334","11,446","11,852","12,354","11,434","11,538","11,607","11,109","10,898","10,792","10,283","10,403","10,336","11,757","12,590","12,418","11,115","11,559","11,217","10,986","11,372","10,211","10,456","10,624","9,926","11,427","11,270","12,914","12,231","12,741","12,696","12,221","11,213","11,090","11,252","11,418","11,688","14,585","13,923","15,567","14,733","12,342","12,363",0.00,"33,504","30,944","36,441","32,998","33,888","32,951","34,042","34,297","34,876","34,063","32,575","35,368","33,380","30,809","36,952","31,644","34,817","34,115","35,410","34,670","32,981","33,495","34,125","34,520","32,008","29,345","34,117","32,078","35,339","33,431","34,899","34,397","33,657","35,259","34,715","35,064","33,972","31,859","34,588","26,483","27,927","27,182","29,826","28,072","26,834","27,566","24,672","26,858","25,550","25,321","28,535","26,609","26,553","26,068","23,654","21,582","20,636"
231.61,87.38,318.99,1,3,2,0,"17,776","18,474","17,915","21,057","21,639","19,317","19,012","19,309","20,331","19,163","18,746","18,834","17,347","18,468","18,628","21,741","21,438","22,894","22,017","21,547","20,895","20,765","20,886","19,647","19,158","19,721","19,746","23,368","24,322","22,858","21,955","22,424","21,082","20,005","21,109","19,783","21,759","21,309","20,594","22,290","22,440","23,841","22,408","22,842","21,784","19,238","18,870","19,015","17,946","18,437","18,242","21,986","20,581","22,038","20,157","17,738","17,058",0.00,"45,966","43,660","50,658","44,491","44,135","44,350","44,137","43,892","43,619","41,919","41,728","40,055","39,857","37,579","43,624","39,947","41,564","43,287","42,532","41,959","40,945","43,527","41,969","42,192","41,534","38,118","45,618","43,425","43,778","40,396","39,189","36,759","36,248","37,527","36,600","34,554","35,222","34,014","34,341","22,496","24,525","25,665","28,172","29,743","29,121","30,306","29,605","29,363","25,746","24,425","28,234","22,434","20,681","20,395","17,978","17,240","16,533"
136.42,60.04,196.46,1,2,2,0,"10,919","10,288","12,709","12,569","12,774","11,928","12,027","12,126","11,500","11,969","11,706","11,263","11,272","10,711","12,790","12,767","12,833","12,398","12,615","12,131","11,567","11,958","11,827","12,150","12,302","11,858","13,375","13,739","14,371","13,091","13,531","13,346","12,219","12,931","11,990","11,653","12,965","11,843","13,395","13,045","13,798","12,929","13,224","12,970","12,252","11,875","11,639","11,571","11,334","10,771","12,792","12,670","13,476","12,875","12,686","12,814","11,615",0.00,"22,489","21,006","24,392","22,134","23,124","23,375","23,691","23,540","23,638","23,074","22,972","23,161","22,939","21,264","23,496","22,014","24,213","24,149","24,059","24,149","24,215","25,435","24,632","25,087","24,288","22,976","25,922","25,070","25,460","25,462","24,942","24,455","24,331","25,241","23,770","23,016","23,900","22,408","23,884","17,967","18,096","17,703","19,195","18,909","17,763","17,791","17,739","17,517","15,968","14,972","17,879","16,282","16,260","15,564","14,825","15,043","13,315"
179.01,74.89,253.9,2,3,2,0,"12,805","12,007","14,100","14,269","14,371","13,893","13,974","14,487","14,376","14,628","13,787","13,667","13,616","12,478","15,065","14,854","15,011","14,057","14,466","14,199","13,865","14,115","13,627","14,045","14,260","13,090","15,147","16,704","16,844","15,752","17,277","16,662","14,577","15,095","14,021","14,103","14,656","13,740","15,545","15,438","16,686","14,461","14,992","14,656","14,676","13,982","13,576","13,228","12,781","11,817","13,951","14,946","14,547","14,528","14,837","14,179","13,475",0.00,"28,196","27,588","32,676","30,941","31,575","31,683","32,335","32,831","31,198","31,765","28,559","31,455","32,206","30,013","34,456","32,416","33,263","31,856","33,128","32,792","31,050","32,030","30,240","32,424","32,490","29,810","34,235","33,774","33,258","32,107","31,483","32,612","31,978","31,433","29,096","29,308","28,894","27,709","28,686","21,703","22,472","20,523","22,651","22,928","22,440","21,736","19,390","19,910","19,448","17,297","19,020","19,686","18,780","19,704","19,633","20,248","19,337"
101,49.34,150.34,2,2,2,0,"12,937","11,841","13,494","14,191","14,551","13,080","13,548","14,347","13,204","13,710","11,847","11,745","12,581","11,608","13,712","13,563","13,839","12,964","13,550","13,449","12,379","13,615","12,156","12,549","11,999","11,943","13,780","14,980","15,284","13,744","13,491","13,200","11,720","12,984","11,363","11,365","12,059","10,913","12,521","11,891","12,662","11,852","11,416","10,709","10,653","9,815","9,920","9,655","8,918","8,420","10,388","10,397","10,867","11,057","11,172","10,481","9,185",0.00,"34,045","32,509","35,961","38,321","34,325","29,227","40,718","36,309","29,920","32,119","28,281","33,798","30,058","29,140","34,032","33,149","32,117","27,829","29,067","27,726","26,617","31,010","28,082","33,786","29,843","28,598","32,752","35,169","32,776","27,853","30,019","31,408","26,302","31,587","28,541","32,163","32,364","26,167","24,807","16,648","18,125","19,408","21,816","19,960","19,067","19,069","19,590","20,168","14,584","15,207","19,554","20,531","17,588","18,153","17,642","16,145","16,092"
136.15,100.66,236.81,0,3,2,0,"14,360","12,993","15,644","15,840","16,166","15,781","15,703","16,130","15,499","15,261","14,032","14,134","14,206","13,399","15,820","16,199","16,573","16,139","16,826","15,996","14,988","15,937","15,129","15,817","14,819","14,217","16,858","17,762","17,517","15,663","15,787","15,809","14,849","16,309","14,954","14,399","15,653","13,886","15,854","14,542","15,955","14,340","14,372","14,474","13,873","13,395","13,186","12,495","11,806","11,616","14,064","14,166","14,294","13,889","13,294","13,551","12,133",0.00,"40,630","35,161","40,843","42,644","42,077","41,827","43,339","44,909","43,980","43,664","41,475","42,108","41,900","39,159","44,835","43,081","43,444","42,025","42,838","41,928","40,754","42,108","40,885","43,327","40,932","37,900","41,307","41,150","40,918","37,560","38,146","38,456","36,277","38,454","37,148","37,774","35,782","29,693","29,751","17,965","21,019","20,223","22,606","22,430","20,495","17,899","18,187","19,179","14,080","16,461","22,148","21,399","19,240","18,010","16,655","16,874","16,474"
