พื้นที่ขาย(ตรม.),พื้นที่ Back Room(ตรม.),พื้นที่รวม(ตรม.),จำนวน Opentype 0.9 m,จำนวน Opentype 1.92 m,จำนวนตู้แช่ข้าวกล่องตัว,จำนวนตู้แช่ข้าวกล่องบาน,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,0.00,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep
154.59,28.81,183.4,1,3,2,0,"14,246","12,757","16,444","15,760","16,260","15,057","14,787","15,183","14,828","14,201","14,446","13,488","13,625","12,658","14,595","14,602","15,373","15,269","15,804","15,010","14,442","14,655","14,383","14,722","13,292","12,763","14,499","14,620","15,178","14,455","14,051","13,970","13,090","14,973","13,747","13,104","14,252","13,064","3,473","12,178","12,735","11,254","11,205","11,591","11,501","10,720","11,614","11,264","9,962","9,515","11,263","11,979","12,663","12,041","11,908","12,051","10,767",0.00,"22,718","21,519","24,883","24,655","24,515","24,538","24,519","24,778","24,437","24,039","22,203","22,860","21,811","20,047","24,236","23,065","24,518","24,076","25,006","24,317","23,262","24,206","22,820","23,594","22,679","21,765","24,361","24,462","25,166","24,127","23,720","23,173","22,152","23,828","21,626","21,672","21,438","21,556","1,592","15,738","17,825","17,249","17,120","16,847","15,823","16,039","15,911","15,964","14,582","14,436","15,638","15,374","16,115","15,092","13,877","14,537","13,450"
125.92,48.25,174.17,3,2,1,0,"15,611","13,897","16,365","16,200","16,777","16,276","16,816","17,099","15,929","16,302","14,800","15,052","15,733","14,083","16,042","16,139","15,375","15,614","16,059","15,514","15,019","15,816","15,064","15,363","15,102","14,488","17,224","16,002","17,022","15,908","16,910","15,994","13,406","13,930","12,989","11,945","12,492","11,481","12,815","12,240","12,903","11,762","11,998","12,342","11,808","11,222","11,082","11,136","10,629","9,665","11,718","10,842","11,395","10,982","10,981","10,720","9,912",0.00,"25,200","22,904","26,527","25,945","26,279","26,540","26,872","26,596","25,295","25,098","23,949","24,381","23,192","22,090","24,799","23,252","23,924","23,495","25,098","23,171","22,876","24,116","22,362","24,077","22,243","21,214","24,108","23,730","24,866","23,416","23,381","25,853","24,357","25,312","23,506","23,506","24,110","19,303","20,422","13,136","15,287","15,857","18,405","17,874","17,290","16,925","16,122","16,134","12,372","12,464","14,603","12,819","12,954","13,093","11,128","10,180","10,300"
163.67,57.17,220.84,1,3,2,0,"15,970","14,639","17,263","17,361","17,862","17,861","17,878","18,489","17,065","16,292","14,906","15,356","15,572","14,790","17,749","17,186","17,825","17,666","17,037","16,346","15,920","16,959","15,344","16,135","15,684","15,473","18,090","18,194","18,892","15,466","16,408","16,444","15,842","16,645","14,778","14,393","14,716","13,729","15,610","15,430","17,163","15,267","14,274","14,555","13,271","12,582","12,770","12,163","11,420","11,007","13,281","12,783","12,608","12,358","12,130","12,343","11,341",0.00,"42,370","38,104","44,882","48,648","46,737","44,974","44,546","45,114","43,829","44,446","41,374","43,132","43,796","42,286","49,315","47,593","44,291","40,174","41,675","39,935","38,223","39,531","37,768","39,681","38,536","36,626","42,024","42,909","43,135","40,281","41,463","39,363","37,236","40,340","39,890","41,780","39,794","34,021","33,778","24,383","25,335","24,732","25,703","24,341","22,581","21,448","20,035","19,246","15,567","15,603","18,989","17,448","18,209","17,623","17,598","19,260","17,708"
174.19,60.11,234.3,1,3,2,0,"14,597","13,176","15,481","15,758","16,469","15,850","15,683","15,970","14,898","14,932","13,443","13,269","13,370","12,396","14,490","14,113","14,114","14,601","14,595","14,243","13,473","14,342","13,495","14,097","13,109","12,894","15,216","16,208","15,886","14,355","14,470","14,159","13,097","13,971","12,456","12,312","12,678","11,820","13,933","14,154","16,174","14,618","14,893","14,997","14,470","13,489","12,965","12,680","11,905","11,343","14,375","14,240","15,391","15,444","14,502","13,545","12,146",0.00,"27,878","25,678","29,519","27,346","29,402","28,428","29,254","29,228","29,520","29,919","27,037","27,905","27,224","25,086","29,782","27,606","28,258","27,818","27,950","27,028","26,435","26,725","25,931","26,713","25,350","25,242","29,188","28,222","29,733","28,498","28,603","27,966","26,769","29,023","27,715","27,594","26,770","27,713","31,241","26,980","26,866","21,638","22,518","22,776","22,125","21,640","20,894","20,682","18,802","19,138","22,212","21,321","23,691","22,414","20,633","19,639","18,027"
114.81,46.08,160.89,2,3,2,0,"13,000","11,202","12,754","15,483","12,334","12,553","14,125","12,618","12,909","14,519","10,484","12,737","12,991","11,141","12,652","13,180","13,169","13,054","13,694","13,310","12,455","14,092","13,361","13,467","13,533","12,692","14,853","15,230","15,927","14,962","15,440","14,628","15,587","13,632","13,519","12,894","13,096","12,389","14,455","13,945","14,864","14,616","12,693","14,272","13,809","12,934","13,383","12,367","11,944","11,484","13,878","13,516","13,583","14,151","13,814","14,355","11,174",0.00,"23,898","22,035","27,039","25,658","26,362","26,176","24,608","24,332","24,024","24,975","23,235","24,100","23,817","21,603","24,919","23,407","25,241","25,010","25,654","24,680","23,650","25,082","24,022","25,148","23,708","22,752","27,106","26,138","27,621","26,088","26,235","24,811","23,841","25,064","24,432","24,143","25,142","24,966","26,834","19,825","19,668","18,822","20,591","19,815","19,390","20,115","19,394","19,723","17,971","18,187","21,058","19,269","20,681","19,740","17,397","16,633","15,350"
108.38,31.38,139.76,2,2,2,0,"14,550","13,053","16,128","16,120","16,613","15,831","15,610","16,114","15,385","15,832","14,013","13,731","13,992","12,780","15,840","16,102","15,854","16,018","16,783","16,431","15,821","17,237","15,954","16,479","15,201","14,449","17,011","17,724","18,275","16,388","15,974","15,867","14,970","16,887","14,735","14,484","15,368","14,138","16,742","16,708","18,236","16,643","16,284","15,330","14,660","14,496","14,495","14,698","13,668","13,733","18,003","18,376","18,914","18,584","17,923","16,931","15,123",0.00,"55,285","48,094","58,708","58,834","57,326","57,342","57,733","55,621","55,781","60,415","48,032","50,634","49,913","46,229","55,671","53,042","52,440","51,291","55,273","55,378","59,307","62,926","54,098","55,445","52,503","49,551","57,769","55,633","57,415","53,759","46,224","47,968","52,104","55,865","45,766","45,385","44,365","41,435","45,540","36,660","37,636","35,527","37,701","35,187","33,003","34,223","34,505","35,012","35,019","31,459","35,718","37,818","40,009","40,690","37,288","33,408","30,778"
230.99,32.56,263.55,0,4,2,0,"17,248","15,122","17,708","19,309","19,350","18,329","18,023","18,497","17,701","17,779","16,503","16,579","17,378","15,920","18,992","19,031","19,289","18,651","19,454","18,513","18,191","18,895","18,263","18,937","18,552","17,296","19,826","20,443","20,540","19,458","18,020","17,202","16,387","17,910","16,571","15,871","17,178","15,834","17,777","17,556","19,651","17,826","18,288","18,029","17,566","16,238","16,604","16,476","15,280","13,811","16,185","15,998","17,307","17,483","17,445","16,622","15,246",0.00,"40,587","36,783","42,784","40,695","42,071","43,083","43,264","46,183","44,281","42,300","41,148","43,034","42,857","39,346","45,569","42,584","45,127","46,511","48,430","45,755","45,399","46,048","43,893","45,093","45,057","40,751","45,632","44,520","45,911","45,980","46,272","45,842","43,962","44,793","43,457","44,660","45,138","46,135","44,397","33,773","34,940","34,141","36,857","37,700","36,950","37,900","35,839","36,464","30,740","22,212","25,617","23,588","24,172","27,158","28,247","25,944","24,322"
199.83,54.8,254.63,1,5,3,3,"21,374","20,339","24,842","24,207","24,558","22,305","20,878","21,666","20,994","20,267","18,260","18,624","19,112","17,708","21,751","21,811","22,674","21,918","22,103","21,557","21,793","21,703","20,324","20,261","19,344","19,840","23,075","24,372","24,350","22,559","23,140","21,952","21,012","22,064","19,629","18,920","21,466","20,450","24,749","23,639","25,448","24,240","25,520","24,377","23,794","22,106","21,736","21,268","19,926","20,287","25,208","24,263","26,002","24,250","23,541","22,999","20,228",0.00,"45,070","42,463","50,244","45,596","46,799","46,200","46,778","47,552","49,372","49,024","49,226","52,006","48,817","46,051","54,225","50,155","52,487","50,538","50,648","49,326","47,851","45,626","44,447","44,937","42,896","40,263","45,787","42,583","44,106","42,477","42,656","45,280","43,804","42,599","44,699","42,449","42,088","39,999","43,574","34,635","35,298","34,812","37,616","37,857","36,050","37,465","36,350","37,119","37,214","33,912","36,613","33,779","35,084","35,644","29,399","29,403","26,438"
177.99,27.79,205.78,1,4,3,3,"16,418","15,531","18,459","17,782","17,122","16,430","16,769","18,445","17,366","17,061","16,795","16,198","16,635","15,135","18,389","18,258","18,900","17,958","18,704","18,291","16,930","18,546","16,905","17,518","16,602","16,657","19,248","20,440","20,760","19,416","19,028","18,099","16,918","18,388","17,069","16,713","17,805","16,108","17,544","17,552","18,872","17,717","18,023","18,240","16,861","15,852","15,990","15,227","14,355","14,024","17,134","16,619","18,931","17,401","16,685","16,559","14,469",0.00,"50,188","46,702","54,581","55,557","56,175","56,289","55,300","54,894","55,791","54,777","51,683","53,203","52,450","48,459","55,295","51,892","56,456","54,836","56,386","54,002","52,827","55,648","54,072","56,440","56,544","53,182","60,920","60,916","62,356","61,838","62,731","60,150","59,145","61,076","59,561","59,936","59,346","49,524","48,818","39,378","38,930","37,200","40,421","40,629","39,952","41,209","38,263","38,698","36,858","35,650","40,646","37,301","39,665","38,504","34,761","31,382","30,676"
122.59,34.76,157.35,1,3,2,2,"14,843","13,698","17,104","17,535","17,627","16,459","16,107","16,715","16,151","15,839","14,735","14,040","14,085","13,087","16,191","16,205","17,108","16,385","16,950","16,548","15,971","17,205","15,603","15,696","14,895","14,835","17,696","17,985","6,159","15,250","15,436","14,293","13,389","15,184","13,907","13,451","13,892","13,510","16,819","16,423","17,809","16,594","16,804","16,617","15,258","13,931","13,255","12,662","12,074","11,926","15,656","17,358","17,065","16,407","16,137","15,715","13,252",0.00,"38,465","35,112","41,161","41,238","39,056","39,468","38,846","40,359","39,725","40,411","37,589","40,781","39,419","36,307","43,150","40,398","41,452","41,913","42,773","39,778","39,713","41,865","40,213","43,553","41,000","39,147","44,585","43,085","7,124","43,482","41,531","39,996","40,242","42,864","41,000","41,584","39,885","38,426","43,279","33,207","36,059","35,601","38,364","37,227","34,990","35,033","33,947","36,638","34,692","31,574","36,705","35,173","34,466","32,871","31,966","30,899","26,296"
247.6,43.87,291.47,1,3,3,3,"13,354","11,863","13,898","14,204","14,766","14,660","14,212","14,332","13,468","13,909","12,831","12,129","12,277","11,592","13,869","13,862","14,476","13,919","14,365","13,910","13,362","14,203","12,965","12,480","12,162","11,154","13,621","14,696","16,475","15,115","9,035","7,677","15,501","15,179","12,891","11,315","12,178","11,404","15,465","16,491","17,801","16,749","17,970","15,926","15,719","14,866","13,205","11,995","11,137","10,952","14,803","14,698","16,191","16,671","15,765","16,171","14,871",0.00,"31,179","29,567","33,127","30,161","33,671","33,874","32,689","32,539","32,025","32,922","32,181","32,389","33,405","31,073","41,557","30,897","36,610","36,043","36,258","35,218","34,621","34,981","36,969","37,258","35,749","32,716","37,382","36,236","38,556","36,574","19,783","15,813","35,959","35,307","36,969","35,822","36,647","35,125","34,589","21,694","23,179","25,661","32,312","29,836","28,144","29,325","28,535","30,494","26,504","25,737","30,852","24,766","25,095","31,071","29,413","31,016","31,506"
167.22,28.86,196.08,0,4,2,0,"13,223","11,946","13,847","13,661","14,060","13,315","13,474","13,299","12,725","13,385","13,239","13,223","13,357","12,347","14,238","14,388","14,489","13,037","13,791","13,656","13,041","13,583","13,247","13,859","13,773","12,868","15,051","15,434","14,638","13,830","14,664","14,093","13,381","14,288","13,687","14,315","14,605","13,486","15,198","14,152","14,179","13,535","14,520","14,020","13,307","13,369","12,874","13,472","13,365","12,177","13,640","13,295","13,774","13,651","13,510","13,642","13,271",0.00,"36,756","32,880","35,675","33,848","27,745","25,666","26,250","27,327","26,553","31,324","31,003","34,547","36,587","33,656","37,537","35,102","30,892","26,772","28,203","28,103","27,484","32,548","32,807","36,951","36,801","34,478","37,309","34,622","29,075","26,354","28,425","27,750","27,762","31,257","30,995","35,161","35,998","32,724","31,190","19,244","19,700","19,422","23,219","22,284","19,764","20,816","19,449","19,812","17,528","15,260","16,521","17,761","16,083","16,008","15,318","16,079","16,234"
157.91,41.74,199.65,1,3,2,0,"12,779","12,350","15,136","16,419","15,597","15,682","14,650","17,374","15,767","14,983","15,104","12,053","13,794","13,079","15,476","16,800","16,918","17,298","17,155","16,316","16,862","14,536","13,984","12,175","11,991","10,461","12,751","12,096","14,107","16,414","12,969","15,029","17,337","15,034","12,775","9,476","11,544","9,790","13,037","11,129","15,832","14,362","13,228","17,638","18,413","15,851","16,765","14,379","14,336","14,221","15,883","18,472","19,118","18,748","17,403","20,676","14,802",0.00,"41,503","39,501","41,322","37,811","43,362","45,505","44,884","46,845","45,204","39,284","45,480","41,995","43,781","41,471","42,767","35,919","41,833","45,886","47,116","46,936","46,691","41,207","46,443","43,605","44,106","41,270","41,541","37,431","41,698","45,660","46,227","43,797","42,793","37,764","40,210","37,907","43,218","39,710","31,390","20,104","25,207","27,061","33,935","34,951","36,014","37,110","30,470","32,977","30,988","29,423","36,272","25,015","24,441","28,870","24,164","24,286","24,248"
150.19,29.13,179.32,1,2,2,0,"17,379","15,523","17,864","18,625","18,875","15,865","15,343","16,062","15,918","15,367","14,124","13,085","13,428","11,812","14,702","15,317","16,552","16,484","16,267","15,754","15,742","14,070","15,216","14,771","14,363","14,629","18,176","18,396","18,998","18,834","18,022","16,809","16,447","16,642","14,630","13,888","14,973","13,742","17,193","17,491","19,343","16,692","16,233","15,283","15,461","13,739","13,306","12,533","11,660","11,156","14,467","14,996","14,719","14,319","14,077","13,831","12,421",0.00,"36,351","33,833","33,726","32,883","36,485","37,119","36,168","37,536","38,167","36,087","40,630","37,962","38,556","33,860","34,028","31,755","38,591","38,788","37,793","36,620","35,392","35,493","40,360","35,946","34,682","36,288","33,186","30,054","34,596","37,461","35,726","35,062","35,220","37,534","37,242","34,217","35,857","34,388","31,661","22,492","25,407","25,150","28,346","29,918","32,246","31,591","32,658","31,729","23,227","19,323","32,206","25,117","23,107","24,175","22,158","22,477","21,356"
100.65,45.09,145.74,2,2,2,2,"12,333","10,504","13,252","13,632","13,883","13,050","13,021","13,523","12,996","12,995","11,761","10,985","11,114","10,639","12,632","13,107","13,220","12,525","13,149","13,471","12,797","13,074","12,241","12,131","12,181","11,539","13,562","15,429","16,721","15,447","15,466","14,389","13,399","13,742","12,426","11,525","9,056","4,868","10,356","10,437","11,627","10,543","10,739","9,899","9,747","9,558","8,655","8,328","7,961","7,651","9,895","10,265","10,254","9,902","10,132","10,396","10,027",0.00,"32,139","29,144","35,695","37,675","34,259","33,706","34,336","35,589","35,540","36,389","32,934","36,267","33,393","30,742","36,411","38,887","35,292","36,137","36,855","35,978","35,527","37,589","36,350","41,844","37,610","28,520","34,906","37,437","34,700","31,911","31,299","30,231","30,450","31,177","22,080","22,512","14,070","9,146","19,963","16,143","20,183","21,281","20,783","19,351","19,372","19,934","19,847","20,711","17,847","16,122","19,512","19,259","18,345","17,749","15,912","16,871","16,396"
152.43,66.88,219.31,1,3,2,0,"13,259","11,963","14,976","15,348","15,703","15,170","15,100","6,566","7,922","13,541","12,231","11,905","12,249","12,003","15,257","15,673","16,379","16,465","16,660","16,004","15,733","16,985","15,590","15,973","14,958","14,982","17,701","18,603","19,861","18,174","18,349","17,877","16,275","18,027","13,992","13,330","15,092","13,939","17,764","17,627","19,123","16,178","15,960","15,736","15,388","14,011","13,303","12,661","12,196","12,731","15,922","16,426","17,487","16,270","15,815","15,582","13,731",0.00,"39,539","36,716","41,839","43,469","43,369","43,435","45,579","12,738","25,806","47,597","44,830","46,567","46,941","43,236","52,416","50,481","53,556","52,654","54,143","50,755","52,503","58,051","53,203","54,121","52,075","49,044","56,783","56,150","57,204","52,624","51,592","50,215","50,073","53,686","49,505","48,816","48,210","46,138","51,751","39,843","39,624","34,820","38,552","38,405","35,635","36,942","35,631","37,078","36,127","33,338","37,946","38,119","39,806","38,865","34,398","33,624","32,564"
167.18,38.99,206.17,0,4,2,0,"16,512","15,401","19,162","20,039","20,232","19,258","19,052","19,317","19,405","18,974","17,626","16,846","18,362","16,504","20,696","20,046","20,656","19,149","19,520","19,448","19,275","20,332","19,352","20,059","18,329","17,828","21,420","22,288","22,191","20,298","20,181","19,692","18,969","21,101","18,470","18,038","19,866","18,196","21,695","19,780","21,956","20,336","20,412","18,910","18,566","17,337","16,722","15,825","14,900","14,801","18,462","19,899","21,714","21,663","21,855","21,397","19,445",0.00,"51,398","45,514","54,203","54,919","56,031","52,937","53,166","53,532","52,684","52,405","48,639","49,464","49,958","44,772","54,511","50,292","54,096","50,804","51,954","53,252","51,431","54,167","51,069","51,630","51,359","46,182","55,707","53,812","56,184","50,812","51,443","52,466","51,170","52,994","50,335","49,682","50,784","47,247","52,092","36,402","38,479","35,902","39,420","37,715","35,830","37,600","34,532","34,970","34,753","30,398","33,603","32,898","33,405","32,978","29,832","24,897","24,412"
124.99,39.12,164.11,1,4,2,0,"13,134","11,691","13,410","13,601","13,980","13,185","12,893","13,314","13,538","13,530","12,260","12,541","12,658","11,481","13,698","13,808","13,989","12,875","13,082","12,593","12,584","13,264","12,388","12,829","12,709","11,889","14,319","15,882","16,515","14,573","14,802","14,242","13,510","14,981","13,900","13,814","14,610","13,549","15,194","15,113","17,200","15,325","15,485","14,733","14,547","14,023","13,897","13,624","13,305","12,512","14,962","15,294","16,015","14,895","15,093","14,396","13,328",0.00,"22,836","19,263","21,357","23,043","22,200","21,328","20,350","20,651","20,555","21,419","19,188","20,909","19,871","18,131","21,614","22,854","21,466","20,150","20,368","20,026","19,973","21,532","20,042","21,171","20,367","19,933","22,769","24,495","24,243","21,518","22,673","21,961","21,991","25,094","21,637","22,260","21,815","20,400","21,079","17,941","21,500","20,845","23,547","19,848","18,947","19,500","18,505","19,013","18,398","16,451","17,493","16,547","15,724","15,541","14,628","14,143","13,829"
164.62,35.72,200.34,2,3,2,0,"13,291","12,285","14,352","14,152","15,310","14,588","14,875","14,958","14,657","15,134","13,888","13,588","14,084","13,239","15,225","15,796","15,865","14,614","15,612","15,432","14,611","14,937","13,951","14,312","14,076","12,978","15,234","15,846","15,018","14,941","15,598","15,395","14,372","14,520","13,522","13,785","14,511","13,606","15,100","14,560","15,580","14,768","14,980","15,128","15,089","15,159","14,164","14,096","13,455","12,718","15,638","15,743","15,394","14,733","14,936","14,960","14,362",0.00,"27,785","28,109","29,030","27,501","32,199","35,331","36,376","35,389","36,265","33,830","30,672","32,568","37,714","35,445","34,446","36,271","38,426","38,629","40,269","38,640","35,009","40,022","35,350","36,798","40,235","37,042","36,617","36,170","38,448","40,492","44,574","42,221","41,530","39,395","34,799","35,785","39,444","36,496","31,680","22,344","28,430","30,423","37,326","37,564","38,364","43,392","28,834","32,096","28,033","27,508","34,686","28,594","25,177","24,852","21,633","22,676","22,567"
247.29,91.27,338.56,0,5,2,0,"19,436","17,837","21,541","19,731","20,020","18,725","18,372","18,560","18,366","18,254","16,924","16,709","16,871","15,810","19,036","19,003","19,624","18,927","19,504","19,442","18,830","19,747","18,423","18,930","17,838","17,739","19,727","20,919","21,282","19,634","20,313","19,287","18,347","20,793","18,773","18,108","19,022","17,854","20,769","20,995","21,730","20,097","21,147","20,247","19,814","19,535","18,990","18,902","17,824","16,724","19,503","19,433","20,232","19,337","19,129","18,602","17,845",0.00,"33,257","31,084","36,400","36,541","36,856","32,961","33,638","32,643","32,267","32,051","30,256","32,885","32,224","29,153","34,021","32,995","33,128","32,591","33,202","33,736","33,227","33,735","32,989","33,451","32,248","29,926","32,189","31,969","31,450","30,336","31,344","31,091","30,070","31,807","31,088","30,525","29,203","26,985","27,696","20,544","23,054","22,770","26,942","25,886","24,423","25,680","23,909","23,732","20,944","20,809","24,448","22,365","21,549","20,706","21,435","19,329","17,688"
162.39,83.47,245.86,1,3,2,0,"16,778","14,536","17,942","18,164","17,131","17,392","16,904","17,586","18,018","17,211","14,826","16,079","16,597","13,739","17,101","17,532","16,153","17,402","17,181","17,769","16,768","18,312","16,019","17,789","16,208","15,880","18,933","21,191","21,112","18,913","19,560","18,746","17,055","18,599","17,356","17,372","18,878","17,105","19,911","19,835","21,013","19,736","19,998","19,638","18,399","18,174","17,179","16,724","15,407","15,103","18,123","17,834","18,149","19,488","18,491","18,534","15,900",0.00,"49,194","44,844","51,622","51,572","52,142","51,617","50,681","51,420","50,025","50,842","48,355","49,708","47,926","43,217","48,168","48,434","49,967","49,050","51,172","48,361","48,704","51,828","48,564","51,022","50,371","47,093","54,196","53,107","54,640","51,272","52,838","53,850","52,342","55,366","52,649","53,480","52,323","49,654","52,947","44,348","45,080","43,678","47,435","43,163","41,723","39,554","39,317","44,154","41,380","38,888","44,109","43,997","46,639","44,483","42,796","41,957","37,676"
212.53,68.94,281.47,2,4,6,5,"22,973","20,251","23,283","24,001","24,766","24,524","23,837","23,810","23,396","22,328","22,271","21,539","21,951","20,090","24,213","23,500","24,531","24,360","23,911","23,001","22,581","22,879","21,802","22,678","21,853","21,130","24,346","25,875","25,873","24,884","24,851","24,239","23,162","25,351","23,807","21,878","24,664","21,367","24,843","25,072","31,426","26,701","25,521","25,462","24,407","22,528","22,034","23,087","22,857","22,311","25,668","25,566","27,123","25,646","25,304","23,107","19,966",0.00,"46,539","40,954","50,453","49,118","48,701","50,185","51,632","48,398","47,558","48,610","45,901","48,676","48,611","42,837","52,514","47,908","50,218","49,659","49,210","48,489","50,916","50,737","49,276","52,478","50,135","47,119","53,956","53,376","56,060","56,706","54,850","53,939","49,581","53,406","51,467","49,939","51,334","49,590","53,516","41,479","45,096","41,066","42,798","43,196","41,573","42,438","42,575","42,932","41,169","39,776","43,772","41,797","44,900","43,699","41,904","36,800","34,180"
192.99,47.99,240.98,0,5,2,0,"16,136","14,639","17,164","16,942","17,723","16,987","17,023","17,412","15,950","16,218","14,913","15,421","15,729","14,851","17,266","16,685","16,806","16,104","16,964","16,211","15,489","15,186","14,726","15,056","15,422","14,627","16,760","17,670","18,043","16,563","17,152","16,874","15,596","16,283","15,961","15,489","17,239","16,061","17,953","17,004","17,984","16,242","16,251","15,939","14,638","14,350","14,059","13,681","13,552","12,318","14,375","15,644","15,763","15,801","16,912","16,951","15,933",0.00,"47,054","47,784","50,444","37,766","32,314","30,212","34,655","33,999","28,460","29,705","27,766","34,898","44,940","43,641","47,608","36,646","30,785","28,238","29,081","29,341","26,920","26,238","26,586","32,769","39,556","40,329","44,217","36,483","30,928","25,366","27,663","28,207","24,578","26,436","27,446","34,875","45,309","43,941","41,921","27,149","28,319","25,230","23,780","21,232","18,815","17,904","15,435","16,489","17,650","16,044","18,652","20,272","18,351","18,399","19,397","18,616","16,272"
152.64,43.24,195.88,0,5,2,0,"12,522","11,875","14,352","14,201","14,745","14,092","14,344","15,432","14,583","14,369","13,362","13,414","13,743","12,793","14,580","14,704","14,947","14,237","15,137","14,575","14,079","13,407","13,050","12,823","13,197","12,680","13,878","14,811","15,643","15,112","15,124","14,684","13,451","13,889","13,398","13,500","14,030","13,128","15,003","13,895","14,649","14,122","14,765","14,806","13,809","12,931","12,498","12,693","12,412","11,881","13,298","13,400","13,650","13,902","15,341","14,235","11,977",0.00,"24,311","24,435","33,368","28,749","26,121","25,209","25,722","27,843","24,660","23,975","21,972","23,885","24,579","22,759","25,308","24,953","24,600","22,963","24,023","23,628","23,263","26,984","23,759","23,438","23,600","21,949","23,737","23,430","23,976","22,863","22,750","21,723","20,950","22,564","21,069","21,109","22,419","21,523","21,458","16,211","18,085","16,536","16,664","16,053","13,047","13,193","11,464","11,405","10,971","9,412","10,814","11,017","10,656","11,420","12,051","11,252","11,032"
108.81,29,137.81,0,3,2,2,"15,308","13,850","16,424","16,981","16,766","16,022","15,567","17,049","15,623","15,852","13,809","13,470","14,133","11,973","14,400","15,384","15,499","13,732","14,315","13,938","13,578","14,620","13,635","13,875","13,216","12,895","15,047","16,450","16,458","14,628","14,504","13,632","12,977","15,241","13,597","12,965","13,642","12,537","15,003","14,689","15,766","6,849","12,888","13,399","13,208","12,426","12,145","11,976","11,648","11,095","13,999","14,197","14,234","13,036","12,716","12,520","11,688",0.00,"40,297","36,248","43,431","45,701","43,050","42,524","43,010","41,349","41,880","43,377","38,776","43,109","40,462","36,959","44,708","46,823","48,168","41,150","40,841","38,468","38,789","39,855","38,445","41,747","39,096","37,102","44,258","43,567","44,201","41,887","40,890","38,723","37,813","42,158","38,909","40,001","37,537","36,920","42,593","32,257","34,781","10,318","26,606","29,731","28,896","30,265","28,501","28,895","28,933","26,626","30,352","30,682","30,495","28,941","27,136","26,020","25,507"
193.65,50.68,244.33,1,3,2,0,"17,862","16,006","19,337","19,523","19,510","18,949","18,741","20,336","18,685","18,843","16,507","15,850","15,985","15,313","18,302","19,190","19,272","19,401","20,567","18,735","17,412","18,437","17,150","18,149","17,069","15,920","18,897","20,667","20,999","19,246","20,510","19,520","19,337","19,259","17,517","17,003","18,257","16,639","19,175","19,407","20,846","19,334","19,200","18,877","18,519","17,898","18,159","17,097","16,011","16,141","21,096","20,505","21,064","21,574","20,184","19,714","17,311",0.00,"51,805","47,752","57,127","58,367","50,632","50,513","51,370","50,387","49,133","49,811","44,259","47,155","47,452","43,620","51,342","49,884","52,221","50,873","51,278","46,542","42,731","44,989","41,319","42,582","42,429","41,959","50,763","53,814","55,211","53,011","53,602","51,251","48,246","51,090","48,910","48,990","47,699","45,390","48,410","36,737","37,458","35,625","34,755","34,567","35,036","36,178","35,647","35,031","32,837","31,959","36,995","37,701","39,645","38,235","33,145","32,908","30,444"
159.9,30.14,190.04,1,3,2,0,"16,981","15,834","17,755","17,025","17,694","17,032","17,828","17,570","16,842","17,992","17,623","17,499","17,617","16,967","19,189","18,976","18,163","17,233","17,582","17,519","16,168","16,882","16,655","17,596","18,121","16,933","18,962","18,740","18,091","17,521","18,664","18,185","16,856","17,976","17,231","17,900","18,683","17,171","17,995","16,199","15,882","12,889","14,030","14,067","13,135","13,482","13,371","13,830","13,729","12,507","14,074","14,674","13,448","12,182","12,219","12,291","11,317",0.00,"43,600","39,737","42,741","41,315","40,319","38,973","42,899","41,950","37,966","42,370","39,135","41,267","44,095","43,785","44,766","42,987","38,786","37,021","33,377","33,482","30,666","34,418","35,155","37,617","39,081","37,209","38,333","36,999","34,386","33,601","35,815","34,484","32,737","35,439","35,529","37,393","40,854","31,736","27,834","11,555","13,407","15,772","19,971","18,783","17,601","19,038","18,350","21,374","16,493","14,703","18,514","18,513","10,969","11,241","12,275","9,369","11,321"
